sensor_id,location,temperature,humidity,timestamp
128,84787 Stang Avenue,-1.37,65.23,4/5/2022
129,24 Ronald Regan Alley,43.35,59.98,8/4/2022
130,83 Fallview Pass,76.37,80.71,12/14/2022
131,0085 Hanover Center,59.86,64.88,4/16/2022
132,8713 Arapahoe Avenue,-5.56,15.39,6/4/2022
133,404 Independence Court,24.2,47.38,4/6/2022
134,99444 Esch Circle,90.49,50.81,12/24/2022
135,37 Arkansas Point,-16.36,18.4,6/26/2022
136,777 Clyde Gallagher Way,96.92,44.7,9/23/2022
137,584 Mayer Alley,89.89,53.46,1/1/2022
138,0 West Point,-6.21,74.52,9/12/2022
139,113 Cambridge Crossing,-3.31,51.51,6/16/2022
140,10110 Fisk Drive,31.7,90.44,9/25/2022
141,02 Lukken Hill,31.26,45.41,11/9/2022
142,080 Mayer Alley,93.14,92.2,3/22/2022
143,081 Almo Avenue,71.89,40.58,9/23/2022
144,8 Ronald Regan Avenue,32.46,29.48,10/9/2022
145,340 Kropf Place,19.19,54.45,6/2/2022
146,1 Park Meadow Pass,23.37,53.82,5/16/2022
147,67 Doe Crossing Lane,54.02,24.43,10/28/2022
148,6127 Warbler Street,-18.37,88.41,7/8/2022
149,61173 Jenna Circle,98.88,16.63,7/7/2022
150,1 Graedel Alley,31.69,25.51,12/11/2022
151,19 Mcguire Court,37.13,81.76,8/18/2022
152,31 Ridge Oak Center,-17.27,97.83,4/6/2022
153,5406 Redwing Hill,31.91,59.6,11/4/2022
154,36287 Susan Point,88.2,63.94,9/1/2022
155,69 Cardinal Way,13.8,19.91,11/21/2022
156,876 Becker Lane,-13.31,42.72,3/20/2022
157,0 Eagle Crest Avenue,30.2,98.44,8/23/2022
158,2 Green Street,83.46,28.84,3/28/2022
159,20122 Bellgrove Alley,81.09,94.78,12/13/2022
160,68948 Katie Court,0.79,26.37,4/13/2022
161,2 Rowland Pass,58.97,11.91,1/9/2022
162,152 Clarendon Alley,20.23,44.21,9/11/2022
163,919 Nelson Trail,12.59,30.02,1/25/2022
164,92 Birchwood Point,37.0,75.92,10/11/2022
165,37828 Dottie Park,8.4,49.0,10/19/2022
166,75 Starling Lane,-11.63,53.94,3/20/2022
167,8547 Waywood Park,22.04,86.98,3/12/2022
168,66707 International Court,53.74,61.39,6/26/2022
169,5 Carey Trail,52.68,36.41,4/24/2022
170,93413 Shasta Crossing,-18.45,91.93,3/4/2022
171,27 Northridge Alley,44.47,14.15,12/21/2022
172,41 Grim Park,78.51,81.73,6/12/2022
173,161 Maple Avenue,65.89,46.84,11/24/2022
174,7942 Mosinee Center,91.35,95.58,4/21/2022
175,4 Porter Hill,-19.4,24.91,1/23/2022
176,86097 Quincy Center,13.76,96.99,6/25/2022
177,75038 Harper Trail,61.03,82.75,10/26/2022
178,16 Orin Place,71.56,95.25,9/29/2022
179,96 Mcbride Parkway,34.35,58.84,8/26/2022
180,86596 Sullivan Crossing,45.63,99.44,1/25/2022
181,8 Barnett Junction,77.61,45.16,8/21/2022
182,81 Ridgeview Lane,3.45,56.3,5/13/2022
183,33 Tony Park,24.01,95.46,4/23/2022
184,679 Brentwood Junction,27.03,95.21,4/5/2022
185,984 Ridgeview Terrace,98.44,47.85,2/20/2022
186,2680 Briar Crest Point,39.15,43.73,9/29/2022
187,944 La Follette Road,2.69,25.13,4/28/2022
188,5146 Nelson Avenue,92.71,18.03,6/6/2022
189,4112 Clove Way,17.29,17.53,8/22/2022
190,6353 Warrior Hill,94.63,22.71,12/26/2022
191,4 Talisman Parkway,64.34,61.56,5/20/2022
192,3 Lunder Point,-5.21,16.24,8/27/2022
193,363 Di Loreto Street,99.18,14.47,5/8/2022
194,3 Raven Circle,39.1,20.83,6/1/2022
195,68632 Shopko Lane,60.38,60.36,11/11/2022
196,59021 Jenifer Point,96.49,3.73,3/13/2022
197,8 Thierer Crossing,61.28,32.39,6/13/2022
198,88072 Bluejay Point,45.06,88.6,11/28/2022
199,50527 School Park,-14.12,5.96,3/20/2022
200,13 Golf Course Alley,97.18,51.12,6/27/2022
201,3 Farmco Place,69.02,51.23,2/24/2022
202,6756 Esker Lane,89.88,89.93,6/29/2022
203,4394 Menomonie Street,26.59,45.43,6/4/2022
204,9 Hauk Place,11.46,33.54,4/21/2022
205,00 Blackbird Point,23.68,40.08,10/18/2022
206,23797 Grayhawk Drive,7.58,78.23,8/23/2022
207,699 Commercial Junction,43.97,38.08,5/29/2022
208,16548 Old Gate Parkway,77.63,29.11,8/22/2022
209,43269 Hoepker Street,52.56,44.24,12/27/2022
210,76407 Arapahoe Center,5.11,67.75,10/11/2022
211,4 American Ash Center,11.88,50.23,8/5/2022
212,70 Nancy Parkway,37.99,44.85,1/25/2022
213,46 Spohn Center,69.19,78.99,6/22/2022
214,78869 Hovde Terrace,51.38,92.08,5/20/2022
215,38 Fremont Center,66.7,72.6,7/26/2022
216,13 Fremont Drive,3.0,79.0,6/23/2022
217,15 Del Sol Court,85.19,60.87,6/19/2022
218,7 Dakota Junction,97.27,5.53,4/29/2022
219,9 Hayes Way,4.2,67.16,11/12/2022
220,0695 Killdeer Alley,-14.52,35.48,10/1/2022
221,4 Ridgeview Avenue,29.84,54.3,10/30/2022
222,83 Lotheville Way,3.68,25.88,1/27/2022
223,3 Mcbride Trail,34.06,33.58,2/3/2022
224,63272 Texas Way,22.5,13.1,6/1/2022
225,761 Hoard Way,-19.99,5.71,11/15/2022
226,3471 Mendota Lane,30.23,21.6,4/6/2022
227,69 Londonderry Way,89.21,33.32,5/26/2022
228,6992 Arkansas Hill,19.4,11.48,12/25/2022
229,677 Clarendon Pass,48.03,4.09,7/30/2022
230,8 Crescent Oaks Center,30.07,82.57,10/14/2022
231,4174 6th Avenue,80.41,10.76,3/3/2022
232,8 Corben Pass,-19.03,27.61,3/10/2022
233,0445 Sunbrook Terrace,39.47,15.65,3/8/2022
234,87676 Browning Pass,99.8,43.61,3/28/2022
235,66 Mallory Parkway,46.71,85.44,10/28/2022
236,15 Declaration Pass,20.25,64.97,2/27/2022
237,6 Mockingbird Road,62.09,74.68,1/7/2022
238,530 Prentice Hill,1.02,60.67,10/24/2022
239,56 Buena Vista Trail,67.4,96.56,3/23/2022
240,251 Ilene Junction,63.24,45.95,8/22/2022
241,4 Lukken Trail,9.2,72.33,3/14/2022
242,40276 Ridge Oak Place,-10.86,32.93,6/21/2022
243,375 Oak Valley Hill,80.24,46.34,1/22/2022
244,75503 Artisan Parkway,-19.86,1.58,5/20/2022
245,822 Glacier Hill Pass,3.16,22.42,7/7/2022
246,8 Melrose Court,6.73,34.92,12/6/2022
247,792 South Lane,27.59,51.72,6/8/2022
248,04370 Manitowish Park,96.88,31.01,1/12/2022
249,20 Bluestem Junction,-16.81,99.8,7/2/2022
250,682 Corben Parkway,93.05,33.13,10/18/2022
251,49535 Ruskin Road,-0.35,16.36,6/24/2022
252,00338 Chinook Avenue,-10.9,71.86,1/22/2022
253,3 Maple Wood Trail,30.13,87.08,12/6/2022
254,4706 Goodland Hill,21.6,90.27,8/23/2022
255,22974 Wayridge Pass,89.17,34.72,10/28/2022
256,44 Spenser Terrace,73.28,70.3,8/13/2022
257,8930 Pierstorff Plaza,-1.97,84.47,10/27/2022
258,73 Haas Point,4.39,74.83,11/26/2022
259,481 Village Road,38.65,73.78,3/18/2022
260,566 Northport Crossing,-4.4,33.43,2/2/2022
261,477 Mallard Court,-7.98,55.51,8/5/2022
262,33146 Di Loreto Junction,28.61,77.57,12/19/2022
263,081 Becker Crossing,78.57,50.88,4/3/2022
264,1 Melrose Parkway,61.46,6.2,3/1/2022
265,0173 Westport Trail,54.87,4.4,5/2/2022
266,01468 4th Lane,13.45,40.57,9/29/2022
267,647 Mandrake Trail,70.25,55.18,1/16/2022
268,51 Park Meadow Pass,18.03,80.76,10/20/2022
269,2220 Memorial Center,-1.23,79.16,12/3/2022
270,60 Independence Place,34.95,58.25,3/21/2022
271,69 Clyde Gallagher Terrace,30.05,1.95,12/14/2022
272,20696 Oakridge Court,22.43,48.67,11/27/2022
273,177 Welch Street,49.96,85.7,4/4/2022
274,2894 Fordem Court,19.77,12.2,11/1/2022
275,06 La Follette Circle,98.8,36.3,4/19/2022
276,4 Lerdahl Circle,68.96,44.92,3/17/2022
277,09438 Manufacturers Avenue,71.73,48.44,9/5/2022
278,6438 Talisman Circle,91.93,54.06,5/27/2022
279,2976 Commercial Park,78.77,1.7,4/5/2022
280,8307 Weeping Birch Hill,88.29,78.02,2/10/2022
281,6084 Carpenter Center,67.96,64.37,1/29/2022
282,47 Scofield Alley,-5.79,16.59,4/23/2022
283,09 Shopko Place,19.65,17.01,12/18/2022
284,98746 Spenser Hill,8.95,94.6,5/2/2022
285,5 Knutson Circle,7.73,84.21,11/17/2022
286,24157 Stone Corner Road,44.39,70.38,12/29/2022
287,115 Forster Lane,67.36,96.97,12/17/2022
288,98548 Manitowish Lane,2.99,1.41,6/19/2022
289,16468 South Pass,82.07,32.27,12/4/2022
290,449 Thackeray Crossing,73.23,47.41,3/28/2022
291,04699 Village Green Hill,14.98,69.19,7/29/2022
292,913 Shopko Circle,40.88,74.63,9/28/2022
293,6 Service Place,7.9,65.37,2/24/2022
294,0 Pennsylvania Circle,19.2,10.75,12/20/2022
295,3766 Mcbride Park,72.44,87.41,12/29/2022
296,544 Memorial Court,12.15,68.98,2/26/2022
297,7730 Vahlen Court,58.08,93.62,7/1/2022
298,96 Merchant Crossing,84.73,99.17,12/18/2022
299,825 Gale Alley,26.4,44.18,1/14/2022
300,26490 Cordelia Alley,-6.74,42.06,3/3/2022
301,63 Quincy Lane,57.34,11.97,8/15/2022
302,922 Amoth Crossing,11.71,52.53,1/5/2022
303,72 Melvin Point,77.28,12.22,11/10/2022
304,35 Goodland Street,4.82,1.45,4/7/2022
305,138 Bellgrove Circle,7.25,25.17,1/21/2022
306,8 Green Place,96.12,94.51,6/25/2022
307,4 Center Park,4.98,51.29,5/11/2022
308,4632 Boyd Junction,-2.21,59.53,1/14/2022
309,92 Mandrake Parkway,-13.88,58.87,10/1/2022
310,3 Logan Pass,11.19,33.51,12/22/2022
311,7361 Sullivan Street,1.39,5.88,7/30/2022
312,33601 Boyd Center,-9.91,92.15,6/16/2022
313,975 Macpherson Way,34.55,73.33,7/2/2022
314,438 Miller Court,-13.41,82.29,2/3/2022
315,30 Cottonwood Road,75.0,25.6,12/7/2022
316,86894 Porter Hill,89.58,28.19,12/6/2022
317,41235 Messerschmidt Circle,89.78,1.31,10/1/2022
318,43243 Fairfield Drive,63.99,79.39,1/9/2022
319,39 Maple Wood Place,77.97,45.38,10/21/2022
320,63941 Tennessee Crossing,89.31,77.82,5/17/2022
321,56064 Bartelt Hill,76.9,82.65,1/5/2022
322,1 Bowman Pass,43.46,74.2,3/6/2022
323,4 Montana Trail,84.24,89.23,1/17/2022
324,30 Westport Street,-16.0,88.12,10/1/2022
325,0 Trailsway Pass,21.22,90.73,11/25/2022
326,76 Green Drive,-8.0,14.72,5/5/2022
327,25 Chive Park,-0.96,50.09,10/2/2022
328,25 Maywood Street,47.89,95.97,1/28/2022
329,2547 Hermina Plaza,-0.7,70.18,4/3/2022
330,3 Sachs Avenue,60.99,70.57,6/9/2022
331,03 Monterey Terrace,21.89,2.34,7/28/2022
332,196 Crowley Drive,93.55,14.39,6/14/2022
333,1 Kings Avenue,4.22,73.34,3/15/2022
334,372 Canary Drive,32.96,62.55,6/24/2022
335,323 Arrowood Alley,82.09,49.25,3/5/2022
336,92059 Magdeline Crossing,33.7,29.35,11/8/2022
337,72488 Green Street,-4.23,84.21,12/9/2022
338,304 Prairieview Alley,34.97,58.61,5/21/2022
339,21479 Kedzie Street,45.19,35.06,9/15/2022
340,62 Fieldstone Circle,92.32,15.93,8/4/2022
341,377 Eagle Crest Court,50.85,33.29,6/11/2022
342,7470 Caliangt Circle,32.37,33.35,12/10/2022
343,4 Dexter Court,8.22,70.87,1/23/2022
344,238 Kenwood Alley,63.72,71.67,6/16/2022
345,39454 Pond Pass,8.17,92.48,9/4/2022
346,8 Mcbride Park,-17.22,57.71,4/7/2022
347,7848 Ryan Circle,11.59,91.62,6/9/2022
348,02823 Summerview Terrace,92.39,82.51,4/28/2022
349,1 Becker Court,-8.26,33.41,6/18/2022
350,309 Green Drive,-16.33,41.08,11/26/2022
351,5247 Summit Junction,-1.3,45.3,1/28/2022
352,0278 Dottie Hill,27.56,83.99,11/20/2022
353,39358 Maryland Parkway,-19.94,13.26,6/9/2022
354,1424 Delaware Pass,50.64,29.48,5/5/2022
355,727 Hudson Lane,56.16,87.59,9/2/2022
356,97 Glacier Hill Drive,60.51,55.3,10/18/2022
357,2939 Monica Circle,-9.35,57.03,8/23/2022
358,7250 Main Place,14.57,57.59,11/4/2022
359,86 Northfield Parkway,67.28,70.51,12/16/2022
360,688 Independence Alley,62.51,84.21,8/2/2022
361,38 Fuller Road,78.91,43.88,1/14/2022
362,734 Westport Road,38.26,97.12,9/27/2022
363,40 Sunnyside Road,37.55,5.58,6/30/2022
364,605 Kinsman Way,-9.25,24.9,6/8/2022
365,31 3rd Alley,-8.86,36.07,7/16/2022
366,44 Bluestem Circle,57.64,38.36,9/28/2022
367,671 Hooker Pass,47.78,11.0,5/12/2022
368,30 Bowman Circle,45.07,30.89,9/26/2022
369,294 Portage Trail,40.72,8.68,2/24/2022
370,02904 Emmet Court,52.53,71.43,8/2/2022
371,3 Acker Pass,37.99,5.77,12/27/2022
372,0 Sheridan Drive,32.88,43.77,1/28/2022
373,13 Warbler Way,37.55,18.26,3/12/2022
374,450 Manitowish Trail,-11.36,2.11,3/8/2022
375,6119 Becker Crossing,-15.27,49.87,1/4/2022
376,92754 Ilene Plaza,34.23,81.02,6/13/2022
377,59058 Warbler Street,-9.31,69.29,2/5/2022
378,26 Lunder Place,-19.64,37.88,4/15/2022
379,92762 Bellgrove Circle,20.46,5.76,5/22/2022
380,670 Pennsylvania Way,23.54,83.67,1/6/2022
381,43531 Rusk Crossing,43.2,3.99,4/9/2022
382,74356 Leroy Lane,68.68,33.81,1/26/2022
383,3549 Ridgeview Avenue,7.93,61.22,4/5/2022
384,91753 Cordelia Pass,59.98,84.0,12/1/2022
385,52 Glendale Junction,59.52,84.73,8/1/2022
386,88 Novick Avenue,39.81,63.9,8/25/2022
387,89977 Merry Park,48.36,75.81,2/17/2022
388,21437 Towne Alley,-2.02,15.52,4/11/2022
389,92 Prairieview Center,-3.05,11.35,5/7/2022
390,78 Heath Plaza,4.37,14.46,10/22/2022
391,65 Knutson Center,8.65,45.51,4/27/2022
392,25 High Crossing Street,-9.41,70.76,3/13/2022
393,04 Burrows Street,4.47,27.22,8/18/2022
394,084 Fairfield Drive,62.27,77.63,5/3/2022
395,38 Petterle Place,51.78,14.78,9/1/2022
396,36398 Tomscot Hill,4.09,41.66,2/12/2022
397,87261 Ruskin Plaza,19.73,85.67,12/12/2022
398,8953 Steensland Trail,78.52,15.75,3/20/2022
399,7730 Fordem Alley,18.68,90.67,3/13/2022
400,24 Logan Parkway,14.54,9.63,12/13/2022
401,9 Declaration Alley,23.0,25.61,4/23/2022
402,431 Buena Vista Center,19.94,74.62,9/29/2022
403,6 Washington Center,64.55,73.54,4/16/2022
404,6787 Buell Street,29.0,6.29,11/4/2022
405,6083 Brickson Park Alley,7.87,36.21,9/6/2022
406,07 Moland Park,16.21,71.71,5/8/2022
407,89 Judy Circle,12.3,31.95,12/20/2022
408,8829 Commercial Lane,19.48,60.37,11/19/2022
409,94120 Eastlawn Lane,29.2,76.86,11/29/2022
410,0 Valley Edge Terrace,23.62,98.33,3/6/2022
411,0 Ridgeview Lane,-12.89,14.21,5/3/2022
412,5888 Hintze Way,7.41,65.52,10/8/2022
413,65151 3rd Way,20.72,22.05,12/30/2022
414,14 Barby Hill,14.06,76.92,5/14/2022
415,2136 Upham Alley,9.69,68.18,4/14/2022
416,8650 Sullivan Hill,59.41,23.16,12/6/2022
417,3 Old Shore Point,1.49,29.26,2/23/2022
418,5324 Browning Place,91.47,36.01,2/2/2022
419,407 Waxwing Plaza,72.41,60.76,11/16/2022
420,6139 Kipling Crossing,-11.82,23.47,3/11/2022
421,66242 Fordem Court,13.33,96.67,10/12/2022
422,223 Moulton Parkway,22.89,26.89,8/4/2022
423,8510 Maryland Parkway,16.21,59.35,8/10/2022
424,8421 Dottie Court,-8.58,11.49,10/5/2022
425,63570 Canary Circle,36.22,86.68,1/5/2022
426,7691 Little Fleur Trail,20.02,9.81,10/15/2022
427,61 Kedzie Junction,58.02,23.46,6/27/2022
428,73 Reindahl Circle,91.83,76.5,11/18/2022
429,48754 Florence Trail,7.64,54.79,4/27/2022
430,936 Elgar Street,69.43,79.63,8/1/2022
431,0819 Union Park,43.27,94.02,12/16/2022
432,813 Wayridge Plaza,28.08,45.52,8/9/2022
433,2615 Logan Lane,-9.25,28.19,11/26/2022
434,3235 Carioca Court,48.6,29.37,5/10/2022
435,094 Novick Hill,22.32,60.92,2/4/2022
436,022 Fair Oaks Parkway,-15.37,55.36,2/23/2022
437,02673 Blue Bill Park Place,36.67,90.08,1/23/2022
438,73650 Mendota Circle,-4.21,85.17,7/16/2022
439,0111 Bobwhite Terrace,80.57,7.66,1/17/2022
440,4675 Scott Plaza,21.96,59.59,9/27/2022
441,2 Nova Pass,-6.9,82.78,3/27/2022
442,0 Pearson Circle,-1.68,58.58,3/12/2022
443,24 Randy Park,1.02,76.51,10/14/2022
444,460 Maryland Parkway,99.53,20.28,2/2/2022
445,00752 Fuller Way,22.6,56.96,12/8/2022
446,27137 Carioca Point,-6.74,43.48,5/3/2022
447,4 Holmberg Crossing,-6.69,92.82,12/29/2022
448,3 Oxford Drive,6.1,87.8,11/29/2022
449,37054 Golden Leaf Road,8.75,56.78,2/21/2022
450,02815 Glacier Hill Point,25.32,69.67,7/1/2022
451,57 Rockefeller Alley,93.81,5.59,10/17/2022
452,7 Bultman Alley,92.55,59.45,2/13/2022
453,91985 Meadow Vale Point,-4.83,16.34,8/16/2022
454,68 Birchwood Terrace,-16.17,7.86,7/24/2022
455,28 School Place,35.2,52.91,7/6/2022
456,50 Erie Hill,97.26,20.71,8/14/2022
457,1703 Pond Street,6.21,73.18,9/21/2022
458,09994 Warner Drive,43.32,96.72,12/27/2022
459,597 Coleman Court,19.49,39.3,7/5/2022
460,36099 Rutledge Terrace,-19.78,61.32,7/2/2022
461,15 Corben Street,6.97,40.21,9/25/2022
462,0 Lien Avenue,80.06,91.65,3/27/2022
463,3 Dayton Court,73.29,91.92,9/16/2022
464,01044 Dahle Parkway,37.04,22.24,6/12/2022
465,07 Drewry Trail,96.97,94.22,4/12/2022
466,58 Pond Drive,76.52,99.69,7/31/2022
467,648 New Castle Lane,17.63,95.69,7/10/2022
468,94495 Summerview Park,89.34,92.99,8/2/2022
469,63 2nd Parkway,0.04,4.78,11/1/2022
470,1011 Menomonie Plaza,37.19,20.16,11/27/2022
471,1954 Pleasure Pass,13.27,39.47,9/11/2022
472,3 Sunbrook Junction,73.31,30.89,12/23/2022
473,6983 Shelley Pass,19.09,89.13,9/17/2022
474,33 Sloan Lane,78.82,95.58,3/4/2022
475,37176 Delladonna Pass,94.21,30.35,1/2/2022
476,7595 Toban Park,14.12,95.37,11/24/2022
477,084 Anhalt Parkway,58.31,37.5,11/28/2022
478,3694 Northridge Park,57.87,92.16,2/26/2022
479,99637 Forest Run Terrace,-0.49,39.4,8/7/2022
480,1419 Sugar Trail,23.99,47.7,3/29/2022
481,3565 La Follette Parkway,-18.31,57.38,3/11/2022
482,36958 Bartillon Parkway,19.06,41.52,3/11/2022
483,47706 Rieder Place,46.25,10.0,8/14/2022
484,3284 Banding Way,70.78,8.68,3/26/2022
485,73 Sycamore Hill,-10.77,50.48,4/1/2022
486,619 Bunker Hill Terrace,69.69,77.84,3/29/2022
487,9 Dexter Parkway,44.79,25.47,1/23/2022
488,5 Golf Course Drive,62.6,32.45,8/2/2022
489,8668 Dawn Street,68.54,92.25,12/28/2022
490,25956 Bunting Pass,30.27,11.2,9/12/2022
491,38449 Talisman Avenue,-13.32,82.48,12/1/2022
492,20 Kingsford Street,33.01,24.06,8/26/2022
493,2882 Jay Avenue,-2.35,45.8,7/18/2022
494,5317 Carioca Avenue,68.03,14.06,3/18/2022
495,4 Fisk Lane,76.53,93.92,5/26/2022
496,75494 Lawn Street,-5.99,55.82,4/5/2022
497,70 Cordelia Place,38.04,17.1,6/9/2022
498,21 Jackson Road,4.95,16.72,10/13/2022
499,733 Gale Avenue,95.53,3.12,12/6/2022
500,2 Scofield Place,-8.62,64.87,4/10/2022
501,08 Gina Way,69.61,57.24,7/13/2022
502,25 Spenser Road,57.68,59.49,8/18/2022
503,48970 Pepper Wood Parkway,21.12,4.62,1/21/2022
